,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,Car,ChlorineConcentration,CinCECGTorso,DodgerLoopDay,DodgerLoopGame,DodgerLoopWeekend,Earthquakes,FordA,FordB,FreezerRegularTrain,FreezerSmallTrain,GesturePebbleZ1,GesturePebbleZ2,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,MoteStrain,Phoneme,PickupGestureWiimoteZ,Plane,ShakeGestureWiimoteZ,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Trace,Wafer
MoteStrain,0.6819833636827392,0.3164047650810689,0.4913402823432718,0.3651816314669212,0.6850189186753046,0.6762146759453597,0.34960789996917213,0.3503271854449492,0.325483358513888,0.8148575527338319,0.8210062100607821,0.8454238997100364,0.35324725561919934,0.3630865887020996,0.8547846403020063,0.8061708436470297,0.3524283079329853,0.4780977529815989,0.32851129191957446,0.3357007146137049,0.0,0.7216533922654047,0.6062522293493634,0.6473139271460311,0.575118249243671,0.36488376998970073,0.5790990004741594,0.3055943779215599,1.000703043085684,0.3609000068654986
Phoneme,0.6498059702497117,0.7843753554282928,0.6827565560796114,0.7431935900688832,0.4803635232146382,0.6486445310486788,0.8078036893120677,0.7884869080550413,0.7809111263608308,0.6323412960585043,0.5878032514531981,0.5432691752955153,0.8997180977086622,0.8850821736199689,0.6967613953328037,0.7425317876225086,0.765709363759152,0.7919270629120964,0.7612334827041313,0.7936694026562424,0.7216533922654047,0.0,0.6327369508277304,0.7180641265381216,0.6143330117128533,0.7015112012305005,0.6425991474058463,0.8056128194117202,0.8248416361113877,0.8019218984690513
PickupGestureWiimoteZ,0.5359086774843663,0.6766055583803172,0.31988345696791176,0.49916098504102285,0.4947404105645768,0.5557041580946412,0.6027592072579764,0.6018562625700672,0.5902960908328678,0.79791805438654,0.839440389099392,0.8326497324623894,0.9218923343934216,0.9146448264221141,0.4071782306127551,0.42287777541351196,0.9454378354286241,0.5249545567629116,0.7208217247947489,0.7046660249643566,0.6062522293493634,0.6327369508277304,0.0,0.4065943431536971,0.4022891067609986,0.3528212542178374,0.5368658737571763,0.4908006988579725,0.9330370888416077,0.7788643691101572
Plane,0.5063430753427771,0.5928231618667691,0.5403064665551017,0.2293325185806138,0.5241684376008776,0.6445964861975494,0.766591214810428,0.7496389140048824,0.7394325418729675,0.9006487491479804,0.9531202774088189,0.8577957130988446,0.9799662600396778,0.9711706982660303,0.38991504153672424,0.44966757905911686,0.7239909405128431,0.6982994757684,0.8437939803720144,0.8425485530861188,0.6473139271460311,0.7180641265381216,0.4065943431536971,0.0,0.5576994248861474,0.36017036963723287,0.6883056241815888,0.6434280718763649,0.6691265638691045,0.7597841016544584
ShakeGestureWiimoteZ,0.7919934768138358,0.49006813724722065,0.363177849328114,0.5771217272831808,0.4738353858717326,0.5302064869872565,0.8424829709142808,0.8243669779687507,0.8270783396912205,0.733262444074564,0.6499911263845796,0.7059750327058755,0.8503633956443524,0.8358410818482284,0.660487472882771,0.666001950570593,0.6424413288924576,0.7219742159732644,0.7340693095254521,0.801059409207144,0.575118249243671,0.6143330117128533,0.4022891067609986,0.5576994248861474,0.0,0.4862354055243042,0.5017107449731443,0.4193117585249795,1.1335956933371265,0.6605920777839497
SonyAIBORobotSurface1,0.4766595911923345,0.6964623395855702,0.36840001804128947,0.265276939983632,0.6305535535301788,0.5349187625829577,0.5551129708560507,0.5440718483148532,0.5572845272884009,0.7876758431784677,0.7924924569692654,0.8298272178099688,0.8258896884362088,0.8164344976271969,0.6011459428011277,0.5736897906031314,0.7417774348443728,0.5709216484400467,0.6426292684784624,0.6486013826835675,0.36488376998970073,0.7015112012305005,0.3528212542178374,0.36017036963723287,0.4862354055243042,0.0,0.4572009485366324,0.4725977796048519,0.9124785629003516,0.6834522843480946
SonyAIBORobotSurface2,0.5994448583491262,0.626290289420158,0.5099818706176178,0.606731523721119,0.6273099366483157,0.4446185763353418,0.7687857578643232,0.74721075796065,0.7303442133833495,0.7328957994515035,0.65614281714293,0.6993375874514622,0.8898558841369237,0.8858724354319173,0.6826860851240039,0.7086334258517453,0.57243397990938,0.6745018583643003,0.6446462796815089,0.7002373283383042,0.5790990004741594,0.6425991474058463,0.5368658737571763,0.6883056241815888,0.5017107449731443,0.4572009485366324,0.0,0.6334867563603354,0.9351773077637757,0.6021487758455862
StarLightCurves,0.7386580701171258,0.3469465801461459,0.37393860249479516,0.5604090618956693,0.6079736706390176,0.5635640582338152,0.9264308247731482,0.8747703675480991,0.9018269260877525,0.8410734842639132,0.8210365233948402,0.8753375118384423,0.7864015344806857,0.7907890549648391,0.6101100578404179,0.5107203760879238,0.44976285388853177,0.9887429968272251,0.8348414334087704,0.8444552901904343,0.3055943779215599,0.8056128194117202,0.4908006988579725,0.6434280718763649,0.4193117585249795,0.4725977796048519,0.6334867563603354,0.0,1.1052283331010258,0.5997801418479481
Trace,0.48965291023426166,1.3243555977801407,0.9997491164081894,0.7642446966287295,0.8523994910807149,1.1374487565726554,0.46983779021585875,0.4814597773222005,0.4576605055144127,0.9753958472609588,0.9871250084741661,0.9763061397758704,1.0394832380738817,1.0324531183120955,0.2825007398002848,0.277599157336726,1.6656419158562483,0.41788109569411214,0.44870705134670097,0.43562230457021445,1.000703043085684,0.8248416361113877,0.9330370888416077,0.6691265638691045,1.1335956933371265,0.9124785629003516,0.9351773077637757,1.1052283331010258,0.0,0.9223648560036906
Wafer,0.669751995442692,0.3952281819636022,0.5051743581106187,0.7660473557694091,0.7389917853101938,0.7874110670365044,0.3069949005674224,0.29199359188029816,0.3553127130325589,0.7934929376800663,0.9053231062214782,0.8359707733770282,0.32317211651006716,0.3419845295812789,0.885291449811702,0.8660192745219808,0.4191052985209404,0.4659020118642403,0.31235564092626394,0.251488655041585,0.3609000068654986,0.8019218984690513,0.7788643691101572,0.7597841016544584,0.6605920777839497,0.6834522843480946,0.6021487758455862,0.5997801418479481,0.9223648560036906,0.0
